name,group,protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g),id
"Cereals ready-to-eat, KELLOGG, SPECIAL K, Fruit & Yogurt",Breakfast Cereals,7,0.027,0.456,4.7,0.066,0.184,85,33,2.9,3,373,1.5,0.2,1.2,29582
"Cereals ready-to-eat, KELLOGG, Smart Start Strong Heart, Original",Breakfast Cereals,10,0.035,0.234,8.9,0.025,0.632,79,28,3.8,3.5,366,0.7,1.1,2,29583
"Cereals ready-to-eat, MALT-O-MEAL, Apple ZINGS",Breakfast Cereals,5.4,0.429,0.455,2.8,0.0597,0.14,87.3,42.9,2.66,2.2,395,0.447,1.26,0.835,29584
"Cereals ready-to-eat, MALT-O-MEAL, BERRY COLOSSAL CRUNCH",Breakfast Cereals,4.89,0.014,0.733,3.3,0.0036,0.114,85.9,41.3,5.44,1.56,412,0.091,1.4,0.63,29585
"Cereals ready-to-eat, MALT-O-MEAL, Blueberry Muffin Tops Cereal",Breakfast Cereals,4.9,0.356,0.466,4.8,0.0354,0.158,80,35.4,11.5,1.1,443,1.84,4.49,4.63,29586
"Cereals ready-to-eat, MALT-O-MEAL, CINNAMON TOASTERS",Breakfast Cereals,5.8,0.388,0.461,4.7,0.021,0.15,79.1,34.8,10.1,2.4,431,1.67,3.91,4.07,29587
"Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS",Breakfast Cereals,3.7,0.406,0.45,1.8,0.0205,0.195,89.5,46.5,2.6,2,396,0.464,1.61,0.419,29588
"Cereals ready-to-eat, MALT-O-MEAL, COLOSSAL CRUNCH",Breakfast Cereals,4.2,0.006,0.766,0.7,0,0.089,86.6,40.65,5.48,1.25,415,0.88,1.43,0.46,29589
"Cereals ready-to-eat, MALT-O-MEAL, CORN BURSTS",Breakfast Cereals,4,0.005,0.871,1.8,0.0605,0.059,93.7,43.6,0.34,0.9,394,0.165,0.042,0.113,29590
"Cereals ready-to-eat, MALT-O-MEAL, Cocoa DYNO-BITES",Breakfast Cereals,4.1,0.008,0.517,1.2,0.001,0.179,89.4,45.2,3.06,1.5,402,2.43,0.256,0.211,29591
"Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice",Breakfast Cereals,6.3,0.007,0.909,1,0.0621,0.124,86.4,9,1.13,3.4,381,0.465,0.251,0.358,29592
"Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes",Breakfast Cereals,5,0,0.573,1.9,0.0615,0.067,90.9,37.4,0.4,2.1,387,0.13,0.07,0.19,29593
"Cereals ready-to-eat, MALT-O-MEAL, Frosted Mini SPOONERS",Breakfast Cereals,9.4,0.027,0.018,10.5,0.001,0.34,82.9,17.9,2.08,4.4,388,0.393,0.367,1.23,29594
"Cereals ready-to-eat, MALT-O-MEAL, Fruity DYNO-BITES",Breakfast Cereals,3.9,0.003,0.63,1,0.001,0.076,90.1,42.6,3.15,1.2,404,0.64,2.12,0.258,29595
"Cereals ready-to-eat, MALT-O-MEAL, GOLDEN PUFFS",Breakfast Cereals,5.77,0.011,0.241,2.6,0.0276,0.154,89.72,51.34,0.89,2.76,397,0.161,0.22,0.349,29596
"Cereals ready-to-eat, MALT-O-MEAL, Honey BUZZERS",Breakfast Cereals,6.3,0.014,0.759,2.9,0.0019,0.12,87.6,37.4,2.14,1.88,395,0.65,0.55,0.65,29597
"Cereals ready-to-eat, MALT-O-MEAL, Honey Nut TOASTY O'S Cereal",Breakfast Cereals,9.63,0.397,0.7,5.6,0.0306,0.309,81.53,38.73,2.16,1.9,390,0.435,0.831,0.871,29598
"Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW MATEYS",Breakfast Cereals,7.2,0.457,0.667,4.6,0.0297,0.197,83.3,42.8,3.6,1.7,394,0.719,1.42,1.3,29599
"Cereals ready-to-eat, MALT-O-MEAL, Maple & Brown Sugar Hot Wheat Cereal, dry",Breakfast Cereals,8,0.314,0.01,3.1,0.001,0.13,84.5,35.6,0.75,5.9,377,0.19,0.096,0.428,29600
"Cereals ready-to-eat, MALT-O-MEAL, Puffed Rice Cereal",Breakfast Cereals,7.8,0.005,0.005,1,0.001,0.103,90.2,0.8,0.97,0.6,401,0.297,0.255,0.377,29601
"Cereals ready-to-eat, MALT-O-MEAL, Puffed Wheat Cereal",Breakfast Cereals,15.6,0.025,0.01,7.3,0.001,0.412,78.8,1.1,2.03,2.1,396,0.442,0.353,1.15,29602
"Cereals ready-to-eat, MALT-O-MEAL, Raisin Bran Cereal",Breakfast Cereals,9,0.045,0.576,13.5,0.013,0.578,76.9,30.3,1.98,8.5,361,0.476,0.401,1.01,29603
"Cereals ready-to-eat, MALT-O-MEAL, TOASTY O'S",Breakfast Cereals,13.1,0.406,0.897,10.7,0.0205,0.317,74.6,3.9,5.92,2,404,1.23,2.16,2.27,29604
"Cereals ready-to-eat, MALT-O-MEAL, TOOTIE FRUITIES",Breakfast Cereals,5,0.407,0.464,2.5,0.0703,0.131,87.9,45.7,3.29,1.5,401,0.687,1.47,0.976,29605
"Cereals ready-to-eat, MUESLI, dried fruit and nuts",Breakfast Cereals,9.7,0,0.231,7.3,0,0.486,77.8,31,4.9,5.8,340,0.805,2.38,1.315,29606
"Cereals ready-to-eat, Malt-O-Meal Honey Graham Squares",Breakfast Cereals,3.33,0.333,0.9,3.3,0.02,0.167,80.33,33.33,10,3.6,433,1.667,3.333,3.333,29607
"Cereals ready-to-eat, Marshmallow ALPHA-BITS",Breakfast Cereals,5.9,0.014,0.711,1.7,0,0.1,86.7,43.5,3.3,1.5,398,0.6,1.015,1.209,29608
"Cereals ready-to-eat, NATURE'S PATH, OPTIMUM",Breakfast Cereals,14.55,0.455,0.418,18.2,0.0022,0.751,73.37,29.09,4.55,3.67,345,,0.962,3.11,29609
"Cereals ready-to-eat, NATURE'S PATH, OPTIMUM SLIM",Breakfast Cereals,16.36,0.455,0.527,20,0,0.956,69.09,18.18,4.55,4.07,327,,1.13,2.903,29610
"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",Breakfast Cereals,10.7,0.038,0.036,13,0.0004,0.321,78.6,19.47,1.4,3.4,353,0.251,0.431,0.529,29611
"Cereals ready-to-eat, POST Banana Nut Crunch",Breakfast Cereals,8.5,0.036,0.39,6.8,0.0002,0.29,74,20.4,10.3,4.5,422,1.4,3.667,4.485,29612
"Cereals ready-to-eat, POST Blueberry Morning",Breakfast Cereals,6.6,0.027,0.473,3.8,0,0.166,79.2,20.8,4.5,7.2,383,0.6,2.008,1.466,29613
"Cereals ready-to-eat, POST Raisin Bran Cereal",Breakfast Cereals,9.33,0.054,0.424,12.1,0.008,0.613,76.84,28.06,2.5,8.13,317,0.39,0.46,1.05,29614
"Cereals ready-to-eat, POST Selects Cranberry Almond Crunch",Breakfast Cereals,7.4,0.029,0.225,6,0.0263,0.228,79.06,25.89,5.55,6,386,,2.974,1.778,29615
"Cereals ready-to-eat, POST TOASTIES corn flakes",Breakfast Cereals,6.7,0.003,0.714,4.5,0,0.117,86.7,6.5,0.1,3.5,360,,0.03,0.051,29616
"Cereals ready-to-eat, POST, 100% Bran Cereal",Breakfast Cereals,12.7,0.076,0.417,28.6,0,0.947,78.2,24.4,2.1,2.8,287,0.3,0.316,1.101,29617
"Cereals ready-to-eat, POST, ALPHA-BITS",Breakfast Cereals,8.5,0.03,0.571,4.1,0,0.194,83.5,39,4.1,1.3,405,0.8,1.175,1.487,29618
"Cereals ready-to-eat, POST, COCOA PEBBLES",Breakfast Cereals,3.5,0.012,0.633,1.6,0,0.146,87.9,44,4.2,2.9,398,3.7,0.131,0.128,29619
"Cereals ready-to-eat, POST, FRUITY PEBBLES",Breakfast Cereals,3.6,0.005,0.633,0.7,0,0.11,87.9,44,3.9,3,401,0.9,1.632,1.294,29620
"Cereals ready-to-eat, POST, GRAPE-NUTS Cereal",Breakfast Cereals,12.48,0.039,0.5,8.8,0,0.338,80.1,12.61,1.85,3,359,0.305,0.261,0.871,29621
"Cereals ready-to-eat, POST, GRAPE-NUTS Flakes",Breakfast Cereals,10,0.039,0.431,8.8,0,0.34,81.5,17.6,2.9,3.2,365,0.6,,,29622
"Cereals ready-to-eat, POST, GREAT GRAINS Crunchy Pecan Cereal",Breakfast Cereals,9.3,0.028,0.403,7,0.0002,0.321,71.4,15.3,11.8,5.8,408,1.4,,,29623
"Cereals ready-to-eat, POST, Golden Crisp",Breakfast Cereals,5.5,0.015,0.093,,0,0.125,90.9,53.9,1.4,2.9,398,0.2,0.45,0.553,29624
"Cereals ready-to-eat, POST, Great Grains, Raisin, Date & Pecan",Breakfast Cereals,8,0.031,0.296,7.4,0.0001,0.326,73.2,24.6,8.4,8.7,377,1.1,3.664,2.953,29625
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, honey roasted",Breakfast Cereals,7.33,0.023,0.5,4.8,0,0.185,82.86,24.66,4.25,3.4,394,0.374,1.901,1.215,29626
"Cereals ready-to-eat, POST, Honey Bunches of Oats, with almonds",Breakfast Cereals,7.8,0.037,0.438,4.5,0.0001,0.227,78,21,8.5,3,407,1.1,4.176,2.737,29627
"Cereals ready-to-eat, POST, Honey Nut Shredded Wheat",Breakfast Cereals,9.82,0.027,0.135,7.7,0,0.253,81.22,23.08,3.77,3.82,385,0.469,1.759,1.196,29628
"Cereals ready-to-eat, POST, Honeycomb Cereal",Breakfast Cereals,5.2,0.017,0.563,2.5,0,0.12,88.9,38.3,2.1,1.5,395,0.6,0.49,0.69,29629
"Cereals ready-to-eat, POST, OREO O's Cereal",Breakfast Cereals,4.8,0.019,0.475,5.5,0,0.183,81.9,47,8.8,2.5,415,1.6,3.346,3.304,29630
"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",Breakfast Cereals,12.5,0.045,0.005,13.4,0,0.42,79.9,1,1.4,4.5,334,0.2,0.173,0.634,29631
"Cereals ready-to-eat, POST, Shredded Wheat, bite-size",Breakfast Cereals,7.8,0.013,0.019,9.6,0,0.327,83.8,22.3,1.9,6,352,0.3,0.271,0.925,29632
"Cereals ready-to-eat, POST, Shredded Wheat, spoon-size",Breakfast Cereals,10.3,0.043,0.007,11.4,0,0.415,83,0.9,1.1,4.1,340,0.2,0.119,0.439,29633
"Cereals ready-to-eat, Puffed KASHI",Breakfast Cereals,13,0.038,0.01,8,0,0.28,79.4,3.2,2.5,3,336,0.509,0.679,1.103,29634
"Cereals ready-to-eat, QUAKER, 100% Natural Granola Oats and Honey",Breakfast Cereals,10.38,0.117,0.049,6.9,0.0002,0.463,72.64,25.79,12.86,2.21,429,7.94,2.64,1.69,29635
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH",Breakfast Cereals,4.37,0.011,0.782,2.5,0,0.185,84.78,43.84,5.89,2.5,402,4.2,0.7,0.79,29636
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH with CRUNCHBERRIES",Breakfast Cereals,4.41,0.014,0.715,2.5,0.0001,0.188,85.19,44.73,5.64,2.5,402,3.91,0.72,0.8,29637
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH",Breakfast Cereals,7.1,0.009,0.742,2.7,0,0.237,78.72,33.12,9.16,2.5,416,4.01,2.63,2.16,29638
"Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S",Breakfast Cereals,4.09,0.01,0.612,2,0.0294,0.164,83.61,42.97,7.45,2.75,411,5.79,0.76,0.79,29639
"Cereals ready-to-eat, QUAKER, Honey Graham bagged cereal",Breakfast Cereals,5.6,0.035,0.825,2.8,0.0236,0.234,83.64,38.37,5.24,2.5,395,1.31,0.81,0.7,29640
"Cereals ready-to-eat, QUAKER, Honey Nut Oats",Breakfast Cereals,6.04,0.027,0.805,4.3,0.0236,0.191,84.53,38.64,3.65,2.5,385,0.63,1.44,0.95,29641
"Cereals ready-to-eat, QUAKER, KING VITAMAN",Breakfast Cereals,6.54,0.01,0.837,3.5,0.04,0.274,85,20.18,3.47,2,386,1.58,0.65,1.14,29642
"Cereals ready-to-eat, QUAKER, KRETSCHMER Honey Crunch Wheat Germ",Breakfast Cereals,26.55,0.05,0.011,10.2,0,0.964,58.11,24.85,7.78,3.4,372,1.36,1.04,4.84,29643
"Cereals ready-to-eat, QUAKER, KRETSCHMER Toasted Wheat Bran",Breakfast Cereals,17.56,0.066,0.006,41.3,0,1.284,59.51,,5.16,11.72,200,0.77,0.8,2.72,29644
"Cereals ready-to-eat, QUAKER, KRETSCHMER Wheat Germ, Regular",Breakfast Cereals,31.43,0.05,0.006,11.9,0.006,1.097,49.38,,9.56,4.78,366,1.66,1.25,5.98,29645
"Cereals ready-to-eat, QUAKER, Low Fat 100% Natural Granola with Raisins",Breakfast Cereals,7.87,0.064,0.253,5.6,0.0007,0.412,81.12,33.6,5.54,3.5,390,2.57,1.37,1.08,29646
"Cereals ready-to-eat, QUAKER, MOTHER'S CINNAMON OAT CRUNCH",Breakfast Cereals,10.49,0.074,0.419,8.3,0.0001,0.537,79.21,25.07,4.64,2.5,380,0.79,1.45,1.41,29647
"Cereals ready-to-eat, QUAKER, MOTHER'S COCOA BUMPERS",Breakfast Cereals,5.08,0.139,0.473,3.1,0,0.787,87.64,41.84,1.74,2.5,376,0.31,0.31,0.63,29648
"Cereals ready-to-eat, QUAKER, MOTHER'S GROOVY GRAHAMS",Breakfast Cereals,5.44,0.138,0.823,3,0,0.755,86.38,44.82,1.63,2.5,372,0.28,0.32,0.69,29649
"Cereals ready-to-eat, QUAKER, MOTHER'S HONEY ROUNDUP",Breakfast Cereals,5.44,0.023,0.587,3.1,0,0.237,87.77,35.68,2,2.5,382,0.38,0.56,0.82,29650
"Cereals ready-to-eat, QUAKER, MOTHER'S PEANUT BUTTER BUMPERS Cereal",Breakfast Cereals,8.28,0.1,0.774,2.9,0,0.648,78.27,29.51,7.34,2.5,403,1.44,3.08,2.23,29651
"Cereals ready-to-eat, QUAKER, MOTHER'S TOASTED OAT BRAN CEREAL, Brown Sugar Flavor",Breakfast Cereals,11.9,0.066,0.632,8.9,0,0.49,74.92,15.5,5.17,4,373,0.89,1.63,1.82,29652
"Cereals ready-to-eat, QUAKER, Oatmeal Cereal, Brown Sugar Bliss",Breakfast Cereals,8.78,0.298,0.509,7.4,0.0032,0.327,79.69,,5.56,2.5,384,1.16,1.69,1.36,29653
"Cereals ready-to-eat, QUAKER, QUAKER 100% Natural Cereal with oats, honey, and raisins",Breakfast Cereals,9.42,0.108,0.249,6.5,0.0005,0.485,73.88,29.87,11.33,3.54,417,6.97,2.34,1.49,29654
"Cereals ready-to-eat, QUAKER, QUAKER APPLE ZAPS",Breakfast Cereals,3.68,0.009,0.449,2.3,0.022,0.175,88.74,46.99,3.45,2.5,393,0.87,0.6,0.62,29655
"Cereals ready-to-eat, QUAKER, QUAKER CINNAMON OATMEAL SQUARES",Breakfast Cereals,10.49,0.195,0.439,8.2,0.011,0.358,79.21,21.19,4.48,2.5,379,0.8,1.47,1.42,29656
"Cereals ready-to-eat, QUAKER, QUAKER COCOA BLASTS",Breakfast Cereals,3.67,0.007,0.409,2.5,0.02,0.189,88.7,48.29,3.54,2.5,394,0.95,0.64,0.59,29657
"Cereals ready-to-eat, QUAKER, QUAKER CRUNCHY BRAN",Breakfast Cereals,6.4,0.071,0.868,17.3,0,0.239,84.11,20.75,4.07,2,333,2.033,0.761,1.204,29658
"Cereals ready-to-eat, QUAKER, QUAKER FRUITANGY OH!S",Breakfast Cereals,4.87,0.009,0.491,2.6,0.04,0.189,87.21,43.25,3.5,2.5,392,0.92,1.73,0.85,29659
"Cereals ready-to-eat, QUAKER, QUAKER Honey Graham LIFE Cereal",Breakfast Cereals,9.33,0.366,0.488,6.3,0,0.269,78.56,23.12,4.14,4.3,373,0.77,1.4,1.34,29660
"Cereals ready-to-eat, QUAKER, QUAKER MARSHMALLOW SAFARI",Breakfast Cereals,5.79,0.087,0.64,4.2,0.04,0.139,84.27,47.27,5.02,2.1,396,1.25,2.5,1.25,29661
"Cereals ready-to-eat, QUAKER, QUAKER OAT CINNAMON LIFE",Breakfast Cereals,8.93,0.35,0.479,6.2,0.0001,0.258,79.27,26.12,4.01,4.3,373,0.75,1.33,1.28,29662
"Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain",Breakfast Cereals,9.89,0.349,0.549,6.6,0,0.285,77.81,19.48,4.39,4.3,373,0.82,1.49,1.42,29663
"Cereals ready-to-eat, QUAKER, QUAKER OATMEAL SQUARES",Breakfast Cereals,11.04,0.201,0.447,7.1,0.0114,0.366,78.34,16.1,4.32,2.75,378,0.9,1.45,1.76,29664
"Cereals ready-to-eat, QUAKER, QUAKER Oat Bran Cereal",Breakfast Cereals,12.38,0.191,0.364,9.9,0.0116,0.438,74.89,16.34,5.11,4,372,0.91,1.57,2.04,29665
"Cereals ready-to-eat, QUAKER, QUAKER Puffed Rice",Breakfast Cereals,7,0.009,0.005,1.4,0,0.116,87.77,,0.9,3.91,383,0.32,0.18,0.34,29666
"Cereals ready-to-eat, QUAKER, QUAKER Puffed Wheat",Breakfast Cereals,16.26,0.024,0.005,9.4,0,0.364,76.39,1.36,2.15,3.69,366,0.41,0.31,1.07,29667
"Cereals ready-to-eat, QUAKER, QUAKER SWEET PUFFS",Breakfast Cereals,6.76,0.01,0.236,3.4,0,0.148,87.99,47.47,1.93,2.22,391,0.36,0.43,0.93,29668
"Cereals ready-to-eat, QUAKER, QUAKER Toasted Oatmeal Cereal",Breakfast Cereals,9.38,0.357,0.56,5.6,0.0041,0.234,80.39,23.76,4.22,2.5,383,1.27,1.24,1.17,29669
"Cereals ready-to-eat, QUAKER, QUAKER toasted Oatmeal Cereal, Honey Nut",Breakfast Cereals,9.01,0.337,0.465,5.5,0.0039,0.227,81.24,25.03,4.07,2.5,384,1.25,1.19,1.12,29670
"Cereals ready-to-eat, QUAKER, SUN COUNTRY Granola with Almonds",Breakfast Cereals,11.77,0.086,0.033,5.2,0.0001,0.388,67.2,20.42,18.02,1.37,467,2.22,5.84,3.18,29671
"Cereals ready-to-eat, QUAKER, SWEET CRUNCH/QUISP",Breakfast Cereals,4.5,0.009,0.74,2.3,0,0.187,85.03,43.36,6.07,2,405,4.44,0.69,0.85,29672
"Cereals ready-to-eat, QUAKER, Shredded Wheat, bagged cereal",Breakfast Cereals,11.09,0.045,0.004,11.6,0,0.354,79.93,0.8,1.98,5.46,343,0.4,0.3,1.2,29673
"Cereals ready-to-eat, QUAKER, Toasted Oats/OATMMM'S",Breakfast Cereals,9.23,0.041,0.953,6.6,0.022,0.288,77.91,7.99,5.1,3.5,380,0.91,1.77,1.46,29674
"Cereals ready-to-eat, Ralston Corn Biscuits",Breakfast Cereals,5.83,0.378,1.07,2.6,0.0185,0.09,85.79,9.51,1.05,3.59,367,0.193,0.133,0.347,29675
"Cereals ready-to-eat, Ralston Corn Flakes",Breakfast Cereals,5.9,0.002,0.71,2.7,0.065,0.086,88.01,7.84,0.91,3.31,357,0.227,0.107,0.293,29676
"Cereals ready-to-eat, Ralston Crispy Hexagons",Breakfast Cereals,5.94,0.008,0.816,1.5,0.0438,0.099,86.78,9.57,0.95,4.07,379,0.263,0.193,0.35,29677
"Cereals ready-to-eat, Ralston Crispy Rice",Breakfast Cereals,6.69,0.005,0.763,0.7,0.0645,0.11,86.22,7.65,1.26,3.62,364,0.36,0.243,0.293,29678
"Cereals ready-to-eat, Ralston Enriched Bran flakes",Breakfast Cereals,10.21,0.045,0.813,16.9,0.2397,0.63,79.77,17.17,3.36,2.53,310,0.433,0.443,1.383,29679
"Cereals ready-to-eat, Ralston TASTEEOS",Breakfast Cereals,11.83,0.357,0.853,10.7,0.0149,0.307,74.22,4.64,5.97,3.68,398,1.023,1.746,1.87,29680
"Cereals ready-to-eat, UNCLE SAM CEREAL",Breakfast Cereals,15.98,0.095,0.206,20.3,0.0615,0.446,65.78,1.56,11.6,4.43,431,1.32,1.98,8.35,29681
"Cereals ready-to-eat, USDA Commodity Corn and Rice (includes all commodity brands)",Breakfast Cereals,6.06,0.01,0.795,1.4,0.0385,0.105,86.85,10.35,1.08,3.78,378,0.26,0.204,0.354,29682
"Cereals ready-to-eat, USDA Commodity Rice Crisps (includes all commodity brands)",Breakfast Cereals,6.45,0.005,0.85,0.7,0.046,0.108,86.04,8.35,1.27,3.85,381,0.355,0.253,0.325,29683
"Cereals ready-to-eat, WAFFELOS",Breakfast Cereals,5.6,0.028,0.416,,0.053,0.088,86.3,,4.2,2.5,405,,,,29684
"Cereals ready-to-eat, WEETABIX WHOLE WHEAT CEREAL",Breakfast Cereals,11.5,0.1,0.387,11.4,0,0.545,77.4,2,2.8,5,373,0.48,0.35,1.17,29685
"Cereals ready-to-eat, bran flakes, single brand",Breakfast Cereals,9.4,0.056,0.732,17.6,0,0.616,80.4,18.9,2.2,3.7,320,0.4,0.295,1.025,29686
"Cereals ready-to-eat, chocolate-flavored frosted puffed corn",Breakfast Cereals,3.34,0.07,0.67,3.8,0.0529,0.176,87.2,47,3.5,3.42,405,0.961,2.079,0.231,29687
"Cereals ready-to-eat, corn flakes, low sodium",Breakfast Cereals,7.7,0.043,0.01,1.1,0,0.073,88.8,6.11,0.3,3,399,0.041,0.075,0.129,29688
"Cereals ready-to-eat, frosted oat cereal with marshmallows",Breakfast Cereals,7.1,0.071,0.5,4.3,0.0529,0.207,84.1,43.5,3.5,2.8,388,0.62,1.1,1.28,29689
"Cereals ready-to-eat, granola, homemade",Breakfast Cereals,14.85,0.078,0.025,9,0.0012,0.54,53.25,20,24.06,5.4,489,4.058,9.527,9.218,29690
"Cereals ready-to-eat, oat, corn and wheat squares, presweetened, maple flavored",Breakfast Cereals,6,0.02,0.432,1.8,0,0.112,79.9,35.45,9.8,2.5,430,1.4,4.303,4.082,29691
"Cereals ready-to-eat, rice, puffed, fortified",Breakfast Cereals,6.3,0.006,0.003,1.7,0,0.113,89.8,,0.5,3,402,0.13,,,29692
"Cereals ready-to-eat, rolled oats, whole wheat, rice, presweetened, maple flavored, with pecans",Breakfast Cereals,8.3,0.045,0.279,6,0,0.298,76.9,24.5,10.5,2.6,422,3.5,4,2.2,29693
"Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits",Breakfast Cereals,7.1,0.043,0.509,9.7,0,0.443,76.2,29.8,5.6,8.5,385,0.8,1.951,2.293,29694
"Cereals ready-to-eat, wheat and malt barley flakes",Breakfast Cereals,10,0.039,0.482,8.8,0,0.34,81.5,17.6,2.9,3.2,365,0.6,0.816,1.05,29695
"Cereals ready-to-eat, wheat germ, toasted, plain",Breakfast Cereals,29.1,0.045,0.004,15.1,0.006,0.947,49.6,7.8,10.7,5.6,382,1.83,1.5,6.62,29696
"Cereals ready-to-eat, wheat, puffed, fortified",Breakfast Cereals,14.7,0.028,0.004,4.4,0,0.348,79.6,,1.2,3,364,0.2,,,29697
"Cereals ready-to-eat, wheat, shredded, plain, sugar and salt free",Breakfast Cereals,11.37,0.05,0.006,12,0.0101,0.376,78.76,0.94,2.21,6.1,337,0.45,0.35,1.26,29698
"Cereals ready-to-eat, whole wheat, rolled oats, presweetened, with pecans",Breakfast Cereals,9.3,0.028,0.403,7,0.0002,0.321,71.4,15.3,11.8,5.8,408,1.4,6.262,3.797,29699
"Cereals, ready-to-eat, ALPEN",Breakfast Cereals,11.2,0.147,0.213,9.1,0.0087,0.568,75.7,20,3.3,7.4,352,0.496,1.327,0.925,29830
"Cereals, ready-to-eat, KELLOGG, KELLOGG'S CINNABON cereal",Breakfast Cereals,5.7,0.026,0.385,3.9,0.065,0.129,83.3,41.6,7,2.5,410,1,3,1.4,29831
