name,protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g),id
"POST, HONEY BUNCHES OF OATS, honey roasted",7.33,0.023,0.5,4.8,0,0.185,82.86,24.66,4.25,3.4,394,0.374,1.901,1.215,29626
"POST, Honey Bunches of Oats, with almonds",7.8,0.037,0.438,4.5,0.0001,0.227,78,21,8.5,3,407,1.1,4.176,2.737,29627
"POST, Honey Nut Shredded Wheat",9.82,0.027,0.135,7.7,0,0.253,81.22,23.08,3.77,3.82,385,0.469,1.759,1.196,29628
"POST, Honeycomb Cereal",5.2,0.017,0.563,2.5,0,0.12,88.9,38.3,2.1,1.5,395,0.6,0.49,0.69,29629
"POST, OREO O's Cereal",4.8,0.019,0.475,5.5,0,0.183,81.9,47,8.8,2.5,415,1.6,3.346,3.304,29630
"POST, Shredded Wheat n' Bran, spoon-size",12.5,0.045,0.005,13.4,0,0.42,79.9,1,1.4,4.5,334,0.2,0.173,0.634,29631
"POST, Shredded Wheat, bite-size",7.8,0.013,0.019,9.6,0,0.327,83.8,22.3,1.9,6,352,0.3,0.271,0.925,29632
"POST, Shredded Wheat, spoon-size",10.3,0.043,0.007,11.4,0,0.415,83,0.9,1.1,4.1,340,0.2,0.119,0.439,29633
Puffed KASHI,13,0.038,0.01,8,0,0.28,79.4,3.2,2.5,3,336,0.509,0.679,1.103,29634
"QUAKER, 100% Natural Granola Oats and Honey",10.38,0.117,0.049,6.9,0.0002,0.463,72.64,25.79,12.86,2.21,429,7.94,2.64,1.69,29635
"QUAKER, CAP'N CRUNCH",4.37,0.011,0.782,2.5,0,0.185,84.78,43.84,5.89,2.5,402,4.2,0.7,0.79,29636
"QUAKER, CAP'N CRUNCH with CRUNCHBERRIES",4.41,0.014,0.715,2.5,0.0001,0.188,85.19,44.73,5.64,2.5,402,3.91,0.72,0.8,29637
"QUAKER, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH",7.1,0.009,0.742,2.7,0,0.237,78.72,33.12,9.16,2.5,416,4.01,2.63,2.16,29638
"QUAKER, HONEY GRAHAM OH!S",4.09,0.01,0.612,2,0.0294,0.164,83.61,42.97,7.45,2.75,411,5.79,0.76,0.79,29639
"QUAKER, Honey Graham bagged cereal",5.6,0.035,0.825,2.8,0.0236,0.234,83.64,38.37,5.24,2.5,395,1.31,0.81,0.7,29640
"QUAKER, Honey Nut Oats",6.04,0.027,0.805,4.3,0.0236,0.191,84.53,38.64,3.65,2.5,385,0.63,1.44,0.95,29641
"QUAKER, KING VITAMAN",6.54,0.01,0.837,3.5,0.04,0.274,85,20.18,3.47,2,386,1.58,0.65,1.14,29642
"QUAKER, KRETSCHMER Honey Crunch Wheat Germ",26.55,0.05,0.011,10.2,0,0.964,58.11,24.85,7.78,3.4,372,1.36,1.04,4.84,29643
"QUAKER, KRETSCHMER Toasted Wheat Bran",17.56,0.066,0.006,41.3,0,1.284,59.51,,5.16,11.72,200,0.77,0.8,2.72,29644
"QUAKER, KRETSCHMER Wheat Germ, Regular",31.43,0.05,0.006,11.9,0.006,1.097,49.38,,9.56,4.78,366,1.66,1.25,5.98,29645
"QUAKER, Low Fat 100% Natural Granola with Raisins",7.87,0.064,0.253,5.6,0.0007,0.412,81.12,33.6,5.54,3.5,390,2.57,1.37,1.08,29646
"QUAKER, MOTHER'S CINNAMON OAT CRUNCH",10.49,0.074,0.419,8.3,0.0001,0.537,79.21,25.07,4.64,2.5,380,0.79,1.45,1.41,29647
"QUAKER, MOTHER'S COCOA BUMPERS",5.08,0.139,0.473,3.1,0,0.787,87.64,41.84,1.74,2.5,376,0.31,0.31,0.63,29648
"QUAKER, MOTHER'S GROOVY GRAHAMS",5.44,0.138,0.823,3,0,0.755,86.38,44.82,1.63,2.5,372,0.28,0.32,0.69,29649
"QUAKER, MOTHER'S HONEY ROUNDUP",5.44,0.023,0.587,3.1,0,0.237,87.77,35.68,2,2.5,382,0.38,0.56,0.82,29650
"QUAKER, MOTHER'S PEANUT BUTTER BUMPERS Cereal",8.28,0.1,0.774,2.9,0,0.648,78.27,29.51,7.34,2.5,403,1.44,3.08,2.23,29651
"QUAKER, MOTHER'S TOASTED OAT BRAN CEREAL, Brown Sugar Flavor",11.9,0.066,0.632,8.9,0,0.49,74.92,15.5,5.17,4,373,0.89,1.63,1.82,29652
"QUAKER, Oatmeal Cereal, Brown Sugar Bliss",8.78,0.298,0.509,7.4,0.0032,0.327,79.69,,5.56,2.5,384,1.16,1.69,1.36,29653
"QUAKER, QUAKER 100% Natural Cereal with oats, honey, and raisins",9.42,0.108,0.249,6.5,0.0005,0.485,73.88,29.87,11.33,3.54,417,6.97,2.34,1.49,29654
"QUAKER, QUAKER APPLE ZAPS",3.68,0.009,0.449,2.3,0.022,0.175,88.74,46.99,3.45,2.5,393,0.87,0.6,0.62,29655
"QUAKER, QUAKER CINNAMON OATMEAL SQUARES",10.49,0.195,0.439,8.2,0.011,0.358,79.21,21.19,4.48,2.5,379,0.8,1.47,1.42,29656
"QUAKER, QUAKER COCOA BLASTS",3.67,0.007,0.409,2.5,0.02,0.189,88.7,48.29,3.54,2.5,394,0.95,0.64,0.59,29657
"QUAKER, QUAKER CRUNCHY BRAN",6.4,0.071,0.868,17.3,0,0.239,84.11,20.75,4.07,2,333,2.033,0.761,1.204,29658
"QUAKER, QUAKER FRUITANGY OH!S",4.87,0.009,0.491,2.6,0.04,0.189,87.21,43.25,3.5,2.5,392,0.92,1.73,0.85,29659
"QUAKER, QUAKER Honey Graham LIFE Cereal",9.33,0.366,0.488,6.3,0,0.269,78.56,23.12,4.14,4.3,373,0.77,1.4,1.34,29660
"QUAKER, QUAKER MARSHMALLOW SAFARI",5.79,0.087,0.64,4.2,0.04,0.139,84.27,47.27,5.02,2.1,396,1.25,2.5,1.25,29661
"QUAKER, QUAKER OAT CINNAMON LIFE",8.93,0.35,0.479,6.2,0.0001,0.258,79.27,26.12,4.01,4.3,373,0.75,1.33,1.28,29662
"QUAKER, QUAKER OAT LIFE, plain",9.89,0.349,0.549,6.6,0,0.285,77.81,19.48,4.39,4.3,373,0.82,1.49,1.42,29663
"QUAKER, QUAKER OATMEAL SQUARES",11.04,0.201,0.447,7.1,0.0114,0.366,78.34,16.1,4.32,2.75,378,0.9,1.45,1.76,29664
"QUAKER, QUAKER Oat Bran Cereal",12.38,0.191,0.364,9.9,0.0116,0.438,74.89,16.34,5.11,4,372,0.91,1.57,2.04,29665
"QUAKER, QUAKER Puffed Rice",7,0.009,0.005,1.4,0,0.116,87.77,,0.9,3.91,383,0.32,0.18,0.34,29666
"QUAKER, QUAKER Puffed Wheat",16.26,0.024,0.005,9.4,0,0.364,76.39,1.36,2.15,3.69,366,0.41,0.31,1.07,29667
"QUAKER, QUAKER SWEET PUFFS",6.76,0.01,0.236,3.4,0,0.148,87.99,47.47,1.93,2.22,391,0.36,0.43,0.93,29668
"QUAKER, QUAKER Toasted Oatmeal Cereal",9.38,0.357,0.56,5.6,0.0041,0.234,80.39,23.76,4.22,2.5,383,1.27,1.24,1.17,29669
"QUAKER, QUAKER toasted Oatmeal Cereal, Honey Nut",9.01,0.337,0.465,5.5,0.0039,0.227,81.24,25.03,4.07,2.5,384,1.25,1.19,1.12,29670
"QUAKER, SUN COUNTRY Granola with Almonds",11.77,0.086,0.033,5.2,0.0001,0.388,67.2,20.42,18.02,1.37,467,2.22,5.84,3.18,29671
"QUAKER, SWEET CRUNCH/QUISP",4.5,0.009,0.74,2.3,0,0.187,85.03,43.36,6.07,2,405,4.44,0.69,0.85,29672
"QUAKER, Shredded Wheat, bagged cereal",11.09,0.045,0.004,11.6,0,0.354,79.93,0.8,1.98,5.46,343,0.4,0.3,1.2,29673
"QUAKER, Toasted Oats/OATMMM'S",9.23,0.041,0.953,6.6,0.022,0.288,77.91,7.99,5.1,3.5,380,0.91,1.77,1.46,29674
Ralston Corn Biscuits,5.83,0.378,1.07,2.6,0.0185,0.09,85.79,9.51,1.05,3.59,367,0.193,0.133,0.347,29675
Ralston Corn Flakes,5.9,0.002,0.71,2.7,0.065,0.086,88.01,7.84,0.91,3.31,357,0.227,0.107,0.293,29676
Ralston Crispy Hexagons,5.94,0.008,0.816,1.5,0.0438,0.099,86.78,9.57,0.95,4.07,379,0.263,0.193,0.35,29677
Ralston Crispy Rice,6.69,0.005,0.763,0.7,0.0645,0.11,86.22,7.65,1.26,3.62,364,0.36,0.243,0.293,29678
Ralston Enriched Bran flakes,10.21,0.045,0.813,16.9,0.2397,0.63,79.77,17.17,3.36,2.53,310,0.433,0.443,1.383,29679
Ralston TASTEEOS,11.83,0.357,0.853,10.7,0.0149,0.307,74.22,4.64,5.97,3.68,398,1.023,1.746,1.87,29680
UNCLE SAM CEREAL,15.98,0.095,0.206,20.3,0.0615,0.446,65.78,1.56,11.6,4.43,431,1.32,1.98,8.35,29681
USDA Commodity Corn and Rice (includes all commodity brands),6.06,0.01,0.795,1.4,0.0385,0.105,86.85,10.35,1.08,3.78,378,0.26,0.204,0.354,29682
USDA Commodity Rice Crisps (includes all commodity brands),6.45,0.005,0.85,0.7,0.046,0.108,86.04,8.35,1.27,3.85,381,0.355,0.253,0.325,29683
WAFFELOS,5.6,0.028,0.416,,0.053,0.088,86.3,,4.2,2.5,405,,,,29684
WEETABIX WHOLE WHEAT CEREAL,11.5,0.1,0.387,11.4,0,0.545,77.4,2,2.8,5,373,0.48,0.35,1.17,29685
"bran flakes, single brand",9.4,0.056,0.732,17.6,0,0.616,80.4,18.9,2.2,3.7,320,0.4,0.295,1.025,29686
chocolate-flavored frosted puffed corn,3.34,0.07,0.67,3.8,0.0529,0.176,87.2,47,3.5,3.42,405,0.961,2.079,0.231,29687
"corn flakes, low sodium",7.7,0.043,0.01,1.1,0,0.073,88.8,6.11,0.3,3,399,0.041,0.075,0.129,29688
frosted oat cereal with marshmallows,7.1,0.071,0.5,4.3,0.0529,0.207,84.1,43.5,3.5,2.8,388,0.62,1.1,1.28,29689
"granola, homemade",14.85,0.078,0.025,9,0.0012,0.54,53.25,20,24.06,5.4,489,4.058,9.527,9.218,29690
"oat, corn and wheat squares, presweetened, maple flavored",6,0.02,0.432,1.8,0,0.112,79.9,35.45,9.8,2.5,430,1.4,4.303,4.082,29691
"rice, puffed, fortified",6.3,0.006,0.003,1.7,0,0.113,89.8,,0.5,3,402,0.13,,,29692
"rolled oats, whole wheat, rice, presweetened, maple flavored, with pecans",8.3,0.045,0.279,6,0,0.298,76.9,24.5,10.5,2.6,422,3.5,4,2.2,29693
"wheat and bran, presweetened with nuts and fruits",7.1,0.043,0.509,9.7,0,0.443,76.2,29.8,5.6,8.5,385,0.8,1.951,2.293,29694
wheat and malt barley flakes,10,0.039,0.482,8.8,0,0.34,81.5,17.6,2.9,3.2,365,0.6,0.816,1.05,29695
"wheat germ, toasted, plain",29.1,0.045,0.004,15.1,0.006,0.947,49.6,7.8,10.7,5.6,382,1.83,1.5,6.62,29696
"wheat, puffed, fortified",14.7,0.028,0.004,4.4,0,0.348,79.6,,1.2,3,364,0.2,,,29697
"wheat, shredded, plain, sugar and salt free",11.37,0.05,0.006,12,0.0101,0.376,78.76,0.94,2.21,6.1,337,0.45,0.35,1.26,29698
"whole wheat, rolled oats, presweetened, with pecans",9.3,0.028,0.403,7,0.0002,0.321,71.4,15.3,11.8,5.8,408,1.4,6.262,3.797,29699
ALPEN,11.2,0.147,0.213,9.1,0.0087,0.568,75.7,20,3.3,7.4,352,0.496,1.327,0.925,29830
KELLOGG'S CINNABON cereal,5.7,0.026,0.385,3.9,0.065,0.129,83.3,41.6,7,2.5,410,1,3,1.4,29831
